puzzle_id,algorithm,grid_size,difficulty,time_ms,nodes_explored,nodes_generated,memory_kb,solution_found,assignments,backtracks,constraint_checks,timed_out,error
futoshiki_4x4_easy,Backtracking,4x4,easy,0.49,10,40,0,True,10,10,151,False,
futoshiki_4x4_easy,A*,4x4,easy,1.58,1,1,128.0,True,0,0,0,False,
futoshiki_4x4_easy,ForwardChaining,4x4,easy,101.39,2,0,384.0,True,0,0,0,False,
futoshiki_4x4_hard,Backtracking,4x4,hard,3.48,357,1428,0,True,357,357,5704,False,
futoshiki_4x4_hard,A*,4x4,hard,8.87,18,23,0,True,35,13,35,False,
futoshiki_4x4_hard,ForwardChaining,4x4,hard,533.81,37,53,1644.0,True,35,29,288,False,
futoshiki_4x4_medium,Backtracking,4x4,medium,0.2,17,68,0,True,17,17,269,False,
futoshiki_4x4_medium,A*,4x4,medium,0.54,1,1,0,True,0,0,0,False,
futoshiki_4x4_medium,ForwardChaining,4x4,medium,71.7,2,0,0,True,0,0,0,False,
futoshiki_5x5_easy,Backtracking,5x5,easy,0.19,9,45,0,True,9,9,198,False,
futoshiki_5x5_easy,A*,5x5,easy,0.85,1,1,0,True,0,0,0,False,
futoshiki_5x5_easy,ForwardChaining,5x5,easy,330.02,2,0,0,True,0,0,0,False,
futoshiki_5x5_hard,Backtracking,5x5,hard,5.83,593,2965,0,True,593,593,15724,False,
futoshiki_5x5_hard,A*,5x5,hard,70.04,107,110,0,True,212,103,212,False,
futoshiki_5x5_hard,ForwardChaining,5x5,hard,6045.34,213,314,5584.0,True,211,203,2575,False,
futoshiki_5x5_medium,Backtracking,5x5,medium,0.36,23,115,0,True,23,23,570,False,
futoshiki_5x5_medium,A*,5x5,medium,1.0,1,1,0,True,0,0,0,False,
futoshiki_5x5_medium,ForwardChaining,5x5,medium,390.7,2,0,0,True,0,0,0,False,
futoshiki_6x6_easy,Backtracking,6x6,easy,0.17,9,54,0,True,9,9,258,False,
